zipcode,med_list_price,avg_sale,med_list_per_sqft,avg_num_offers,med_sale_price,avg_down_payment,med_sale_per_sqft,num_sold,ele_school_mean,mid_school_mean,high_school_mean
07001,$325K,98.7%,$257,—,$279K,—,$237,13,5.0,3.0,nan
07002,$429K,98.0%,$251,1,$420K,20.0%,$232,58,5.6,6.4,4.75
07003,$349K,102.9%,$223,1,$368K,20.4%,$261,44,7.8,6.6,5.0
07004,$549K,99.5%,$232,—,$572K,—,$250,19,7.333333333333333,7.0,7.0
07005,$517K,97.9%,$225,1,$405K,21.2%,$231,17,7.4,7.0,6.5
07006,$569K,97.9%,$253,1,$490K,20.0%,$262,38,8.0,6.666666666666667,7.0
07007,nan,nan,nan
07008,$350K,98.7%,$211,2,$290K,4.9%,$183,19,4.0,4.0,4.0
07009,$500K,98.3%,$264,4,$499K,20.0%,$297,22,6.333333333333333,7.0,6.333333333333333
07010,$589K,96.0%,$321,1,$482K,48.0%,$299,25,6.0,4.0,3.0
07011,$369K,100.0%,$223,1,$364K,—,$223,23,5.6,3.5,3.0
07012,$375K,99.8%,$263,4,$410K,4.9%,$282,13,5.0,nan,nan
07013,$395K,97.0%,$245,1,$341K,20.8%,$240,46,5.6,4.25,3.0
07014,$350K,95.3%,$248,1,$395K,20.0%,$230,5,6.0,nan,nan
07015,nan,nan,nan
07016,$499K,97.6%,$298,1,$490K,100.0%,$285,23,7.2,6.25,7.0
07017,$270K,104.2%,$116,1,$285K,—,$134,16,5.0,3.8,4.4
07018,$248K,103.5%,$121,1,$263K,—,$144,20,4.2,3.6,5.0
07019,$225K,96.5%,—,—,$279K,—,—,1,5.0,nan,nan
07020,$650K,94.1%,$416,1,$408K,50.0%,$350,22,7.8,8.6,4.6
07021,$1.19M,92.5%,$318,—,$843K,—,$224,5,10.0,nan,nan
07022,$475K,96.4%,$273,1,$595K,5.0%,$221,9,4.5,4.0,nan
07023,$470K,97.4%,$292,1,$445K,—,$322,15,8.333333333333334,7.0,8.0
07024,$499K,96.0%,$332,1,$325K,30.0%,$323,67,7.8,6.5,7.0
07026,$370K,100.7%,$227,1,$364K,31.8%,$203,30,6.4,6.4,2.0
07027,$400K,98.2%,$343,—,$380K,—,$217,5,6.0,6.0,nan
07028,$589K,106.0%,$288,1,$559K,0.0%,$293,15,6.25,6.0,6.333333333333333
07029,$510K,97.7%,$285,1,$387K,20.0%,$184,2,4.0,3.5,3.0
07030,$795K,98.7%,$714,1,$757K,25.0%,$663,81,4.0,nan,2.0
07031,$413K,98.4%,$254,—,$368K,50.5%,$250,16,5.4,5.4,4.0
07032,$389K,98.8%,$218,1,$389K,20.0%,$207,27,5.6,5.6,3.75
07033,$425K,99.3%,$187,1,$350K,15.0%,$221,5,6.0,5.5,4.0
07034,$350K,101.3%,$252,1,$372K,20.7%,$214,7,7.0,nan,7.5
07035,$359K,96.5%,$218,—,$343K,—,$220,19,6.4,6.4,nan
07036,$330K,99.8%,$251,1,$315K,21.1%,$299,52,6.8,6.8,3.6
07039,$765K,98.0%,$299,1,$591K,10.0%,$287,48,8.0,7.666666666666667,7.0
07040,$515K,99.8%,$264,1,$660K,22.2%,$287,39,6.2,5.5,6.0
07041,$744K,101.5%,$407,1,$947K,20.0%,$409,10,8.666666666666666,8.666666666666666,8.666666666666666
