,city,county,zipcode
0,Avenel,Middlesex,07001
1,Bayonne,Hudson,07002
2,Bloomfield,Essex,07003
3,Fairfield,Essex,07004
4,Boonton,Morris,07005
5,Caldwell,Essex,07006
6,Caldwell,Essex,07007
7,Carteret,Middlesex,07008
8,Cedar Grove,Essex,07009
9,Cliffside Park,Bergen,07010
10,Clifton,Passaic,07011
11,Clifton,Passaic,07012
12,Clifton,Passaic,07013
13,Clifton,Passaic,07014
14,Clifton,Passaic,07015
15,Cranford,Union,07016
16,East Orange,Essex,07017
17,East Orange,Essex,07018
18,East Orange,Essex,07019
19,Edgewater,Bergen,07020
20,Essex Fells,Essex,07021
21,Fairview,Bergen,07022
22,Fanwood,Union,07023
23,Fort Lee,Bergen,07024
24,Garfield,Bergen,07026
25,Garwood,Union,07027
26,Glen Ridge,Essex,07028
27,Harrison,Hudson,07029
28,Hoboken,Hudson,07030
29,North Arlington,Bergen,07031
30,Kearny,Hudson,07032
31,Kenilworth,Union,07033
32,Lake Hiawatha,Morris,07034
33,Lincoln Park,Morris,07035
34,Linden,Union,07036
35,Livingston,Essex,07039
36,Maplewood,Essex,07040
37,Millburn,Essex,07041
38,Montclair,Essex,07042
39,Montclair,Essex,07043
40,Verona,Essex,07044
41,Montville,Morris,07045
42,Mountain Lakes,Morris,07046
43,North Bergen,Hudson,07047
44,Orange,Essex,07050
45,Orange,Essex,07051
46,West Orange,Essex,07052
47,Parsippany,Morris,07054
48,Passaic,Passaic,07055
49,Wallington,Bergen,07057
50,Pine Brook,Morris,07058
51,Warren,Somerset,07059
52,Plainfield,Union,07060
53,Plainfield,Union,07061
54,Plainfield,Union,07062
55,Plainfield,Union,07063
56,Port Reading,Middlesex,07064
57,Rahway,Union,07065
58,Clark,Union,07066
59,Colonia,Middlesex,07067
60,Roseland,Essex,07068
61,Watchung,Somerset,07069
62,Rutherford,Bergen,07070
63,Lyndhurst,Bergen,07071
64,Carlstadt,Bergen,07072
65,East Rutherford,Bergen,07073
66,Moonachie,Bergen,07074
67,Wood Ridge,Bergen,07075
68,Scotch Plains,Union,07076
69,Sewaren,Middlesex,07077
70,Short Hills,Essex,07078
71,South Orange,Essex,07079
72,South Plainfield,Middlesex,07080
73,Springfield,Union,07081
74,Towaco,Morris,07082
75,Union,Union,07083
76,Weehawken,Hudson,07086
77,Union City,Hudson,07087
78,Vauxhall,Union,07088
79,Westfield,Union,07090
80,Westfield,Union,07091
81,Mountainside,Union,07092
82,West New York,Hudson,07093
83,Secaucus,Hudson,07094
84,Woodbridge,Middlesex,07095
85,Secaucus,Hudson,07096
86,Jersey City,Hudson,07097
87,Kearny,Hudson,07099
88,Newark,Essex,07101
89,Newark,Essex,07102
90,Newark,Essex,07103
91,Newark,Essex,07104
92,Newark,Essex,07105
93,Newark,Essex,07106
94,Newark,Essex,07107
95,Newark,Essex,07108
96,Belleville,Essex,07109
97,Nutley,Essex,07110
98,Irvington,Essex,07111
99,Newark,Essex,07112
100,Newark,Essex,07114
101,Newark,Essex,07175
102,Newark,Essex,07182
103,Newark,Essex,07184
104,Newark,Essex,07188
105,Newark,Essex,07189
106,Newark,Essex,07191
107,Newark,Essex,07192
108,Newark,Essex,07193
109,Newark,Essex,07194
110,Newark,Essex,07195
111,Newark,Essex,07198
112,Newark,Essex,07199
113,Elizabeth,Union,07201
114,Elizabeth,Union,07202
115,Roselle,Union,07203
116,Roselle Park,Union,07204
117,Hillside,Union,07205
118,Elizabeth,Union,07206
119,Elizabeth,Union,07207
120,Elizabeth,Union,07208
121,Jersey City,Hudson,07302
122,Jersey City,Hudson,07303
123,Jersey City,Hudson,07304
124,Jersey City,Hudson,07305
125,Jersey City,Hudson,07306
126,Jersey City,Hudson,07307
127,Jersey City,Hudson,07308
128,Jersey City,Hudson,07309
129,Jersey City,Hudson,07310
130,Jersey City,Hudson,07311
131,Jersey City,Hudson,07395
132,Jersey City,Hudson,07399
133,Allendale,Bergen,07401
134,Bloomingdale,Passaic,07403
135,Butler,Morris,07405
136,Elmwood Park,Bergen,07407
137,Fair Lawn,Bergen,07410
138,Franklin,Sussex,07416
139,Franklin Lakes,Bergen,07417
140,Glenwood,Sussex,07418
141,Hamburg,Sussex,07419
142,Haskell,Passaic,07420
143,Hewitt,Passaic,07421
144,Highland Lakes,Sussex,07422
145,Ho Ho Kus,Bergen,07423
146,Little Falls,Passaic,07424
147,Mc Afee,Sussex,07428
148,Mahwah,Bergen,07430
149,Midland Park,Bergen,07432
150,Newfoundland,Passaic,07435
151,Oakland,Bergen,07436
152,Oak Ridge,Passaic,07438
153,Ogdensburg,Sussex,07439
154,Pequannock,Morris,07440
155,Pompton Lakes,Passaic,07442
156,Pompton Plains,Morris,07444
157,Ramsey,Bergen,07446
158,Ridgewood,Bergen,07450
159,Ridgewood,Bergen,07451
160,Glen Rock,Bergen,07452
161,Ringwood,Passaic,07456
162,Riverdale,Morris,07457
163,Saddle River,Bergen,07458
164,Stockholm,Sussex,07460
165,Sussex,Sussex,07461
166,Vernon,Sussex,07462
167,Waldwick,Bergen,07463
168,Wanaque,Passaic,07465
169,Wayne,Passaic,07470
170,Wayne,Passaic,07474
171,Wayne,Passaic,07477
172,West Milford,Passaic,07480
173,Wyckoff,Bergen,07481
174,Mahwah,Bergen,07495
175,Paterson,Passaic,07501
176,Paterson,Passaic,07502
177,Paterson,Passaic,07503
178,Paterson,Passaic,07504
179,Paterson,Passaic,07505
180,Hawthorne,Passaic,07506
181,Hawthorne,Passaic,07507
182,Haledon,Passaic,07508
183,Paterson,Passaic,07509
184,Paterson,Passaic,07510
185,Totowa,Passaic,07511
186,Totowa,Passaic,07512
187,Paterson,Passaic,07513
188,Paterson,Passaic,07514
189,Paterson,Passaic,07522
190,Paterson,Passaic,07524
191,Paterson,Passaic,07533
192,Haledon,Passaic,07538
193,Paterson,Passaic,07543
194,Paterson,Passaic,07544
195,Hackensack,Bergen,07601
196,Hackensack,Bergen,07602
197,Bogota,Bergen,07603
198,Hasbrouck Heights,Bergen,07604
199,Leonia,Bergen,07605
200,South Hackensack,Bergen,07606
201,Maywood,Bergen,07607
202,Teterboro,Bergen,07608
203,Alpine,Bergen,07620
204,Bergenfield,Bergen,07621
205,Closter,Bergen,07624
206,Cresskill,Bergen,07626
207,Demarest,Bergen,07627
208,Dumont,Bergen,07628
209,Emerson,Bergen,07630
210,Englewood,Bergen,07631
211,Englewood Cliffs,Bergen,07632
212,Harrington Park,Bergen,07640
213,Haworth,Bergen,07641
214,Hillsdale,Bergen,07642
215,Little Ferry,Bergen,07643
216,Lodi,Bergen,07644
217,Montvale,Bergen,07645
218,New Milford,Bergen,07646
219,Northvale,Bergen,07647
220,Norwood,Bergen,07648
221,Oradell,Bergen,07649
222,Palisades Park,Bergen,07650
223,Paramus,Bergen,07652
224,Paramus,Bergen,07653
225,Park Ridge,Bergen,07656
226,Ridgefield,Bergen,07657
227,Ridgefield Park,Bergen,07660
228,River Edge,Bergen,07661
229,Rochelle Park,Bergen,07662
230,Saddle Brook,Bergen,07663
231,Teaneck,Bergen,07666
232,Tenafly,Bergen,07670
233,Westwood,Bergen,07675
234,Township Of Washington,Bergen,07676
235,Woodcliff Lake,Bergen,07677
236,Teterboro,Bergen,07699
237,Red Bank,Monmouth,07701
238,Shrewsbury,Monmouth,07702
239,Fort Monmouth,Monmouth,07703
240,Fair Haven,Monmouth,07704
241,Red Bank,Monmouth,07709
242,Adelphia,Monmouth,07710
243,Allenhurst,Monmouth,07711
244,Asbury Park,Monmouth,07712
245,Belmar,Monmouth,07715
246,Atlantic Highlands,Monmouth,07716
247,Avon By The Sea,Monmouth,07717
248,Belford,Monmouth,07718
249,Belmar,Monmouth,07719
250,Bradley Beach,Monmouth,07720
251,Cliffwood,Monmouth,07721
252,Colts Neck,Monmouth,07722
253,Deal,Monmouth,07723
254,Eatontown,Monmouth,07724
255,Englishtown,Monmouth,07726
256,Farmingdale,Monmouth,07727
257,Freehold,Monmouth,07728
258,Hazlet,Monmouth,07730
259,Howell,Monmouth,07731
260,Highlands,Monmouth,07732
261,Holmdel,Monmouth,07733
262,Keansburg,Monmouth,07734
263,Keyport,Monmouth,07735
264,Leonardo,Monmouth,07737
265,Lincroft,Monmouth,07738
266,Little Silver,Monmouth,07739
267,Long Branch,Monmouth,07740
268,Marlboro,Monmouth,07746
269,Matawan,Monmouth,07747
270,Middletown,Monmouth,07748
271,Monmouth Beach,Monmouth,07750
272,Morganville,Monmouth,07751
273,Navesink,Monmouth,07752
274,Neptune,Monmouth,07753
